nome_shampoo,vendite_totali,prezzo_unitario
AquaSilk Shampoo Variante 1,1865,12.44
AquaSilk Shampoo Variante 2,3351,7.72
AquaSilk Shampoo Variante 3,4787,11.49
AquaSilk Shampoo Variante 4,4213,10.5
AquaSilk Shampoo Variante 5,573,9.72
AquaSilk Shampoo Variante 6,4429,12.7
AquaSilk Shampoo Variante 7,4228,10.06
AquaSilk Shampoo Variante 8,2646,5.04
AquaSilk Shampoo Variante 9,1051,10.85
AquaSilk Shampoo Variante 10,3548,11.36
AquaSilk Shampoo Variante 11,3502,11.85
AquaSilk Shampoo Variante 12,1670,10.61
AquaSilk Shampoo Variante 13,3228,12.0
AquaSilk Shampoo Variante 14,4666,7.59
AquaSilk Shampoo Variante 15,4227,8.41
AquaSilk Shampoo Variante 16,663,12.43
AquaSilk Shampoo Variante 17,3926,8.6
AquaSilk Shampoo Variante 18,3776,6.81
AquaSilk Shampoo Variante 19,3524,7.71
AquaSilk Shampoo Variante 20,1308,7.66
AquaSilk Shampoo Variante 21,4237,6.61
AquaSilk Shampoo Variante 22,1612,10.47
AquaSilk Shampoo Variante 23,915,10.3
AquaSilk Shampoo Variante 24,1343,11.5
AquaSilk Shampoo Variante 25,2469,4.28
AquaSilk Shampoo Variante 26,1452,5.05
AquaSilk Shampoo Variante 27,4664,10.42
AquaSilk Shampoo Variante 28,863,9.89
AquaSilk Shampoo Variante 29,1427,11.78
AquaSilk Shampoo Variante 30,3344,12.56
